"hash","name","slug","description","iconUrl","tier","itemType","itemTypeName","defense","power","recovery","mobility","resilience","attack","zoom","roundsPerMinute","impact","range","stability","magazine","reloadSpeed","handling","aimAssistance","recoilDirection"
2209865285,"Wise Warlock Robes","wise-warlock-robes","Warrior. Scholar. Warlocks are both.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/32680dbbb71ba9a5dddf40cd9bbe45cd.jpg","Basic","Armor","Chest Armor",100,11,1,,1,,,,,,,,,,,
2213355989,"High-Impact Reserves","high-impact-reserves","Rounds at the end of the magazine deal more damage.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/c111f32c39e832528651907d4fd1d91b.png","Legendary","Mod","Trait",,,,,,,,,,,,,,,,
2213848030,"Common Gear","common-gear","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/399ff8844f8a4ec8301143efb680aa35.jpg","Common","None","",,,,,,,,,,,,,,,,
2213848860,"Psi Termina II","psi-termina-ii","Don't be the last.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/7a9b1f17430793162d53574d4b630c4a.jpg","Common","Weapon","Pulse Rifle",,28,,,,200,17,360,29,40,49,34,42,41,55,66
2213848861,"Cadenza-11","cadenza-11","A modded version of the Cadenza-43, a Guardian standby.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/bfe34b82fc9637cd520bf58b6b1b4fa8.jpg","Common","Weapon","Pulse Rifle",,28,,,,200,17,360,29,41,49,33,42,42,55,62
2213848862,"Standing Tall","standing-tall","Hawthorne forged this weapon out of scraps and salvage during her years alone in the wilds.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/205bc64aab3ecf08f6ab4750d73b2b22.jpg","Common","Weapon","Pulse Rifle",,28,,,,200,18,320,33,58,46,26,33,28,24,62
2213848863,"Psi Ferox II","psi-ferox-ii","Fury is an energy, too.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f5a2626cac6249ddd185d7bc3aac7f62.jpg","Common","Weapon","Pulse Rifle",,28,,,,200,17,450,27,31,45,27,57,64,64,42
2220653602,"Iron Banner Armor","iron-banner-armor","Armor obtained by honoring the heroes of old in the Iron Banner Crucible tournament.",,"Legendary","None","Armor Set",,,,,,,,,,,,,,,,
2221648234,"Crushing Greaves","crushing-greaves","""For the Light who seeks to root their stance as their weapon consumes the enemy."" —Emissary of the Nine","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/90215bca46d7be65a60b09461a305269.jpg","Legendary","Armor","Leg Armor",300,35,,,,,,,,,,,,,,
2221648235,"Annihilating Greaves","annihilating-greaves","""For the Light who seeks to be immovable."" —Emissary of the Nine","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/bbd1ce4abde95efaf5ac8ac6de914038.jpg","Legendary","Armor","Leg Armor",200,23,,,,,,,,,,,,,,
2224319023,"Nessus Challenges","nessus-challenges","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/c78c087bbbded51f16a8d00ecedd4ffe.png","None","Quest","Quest",,,,,,,,,,,,,,,,
2226587760,"Meditation: ""Hope""","meditation-hope","Revisit this mission and reflect on its role in your recovery.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/d6ec804795a6ec7723548184740af653.jpg","Legendary","None","",,,,,,,,,,,,,,,,
2227061199,"Invitation from the Emperor","invitation-from-the-emperor","Cayde's worried about a mysterious message drawing the Red Legion to a remote corner of Nessus.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/8f0b3ad3f7ab80c31dd83f7de3e5cbf8.jpg","Basic","None","",,,,,,,,,,,,,,,,
2234606252,"Challenges","challenges","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/c78c087bbbded51f16a8d00ecedd4ffe.png","None","Quest","Quest",,,,,,,,,,,,,,,,
2235733301,"Riptide","riptide","Without power, Zavala's resistance has hit a wall. Travel deeper into the Arcology and help them past it.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/33144b4bb0c95a732763666032aed85b.png","None","None","",,,,,,,,,,,,,,,,
2238035098,"Storm and Stress","storm-and-stress","Kills with Energy Weapons grant bonus precision damage until next reload.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/cc50121361a8d044bf7aec712820c5b5.png","Legendary","Mod","Trait",,,,,,,,,,,,,,,,
2243093675,"Letter Fragment","letter-fragment","Torn Remnants from a Vanguard Missive","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/e219daf4b923295f9b5470fa45d67e27.jpg","Basic","None","Journal Fragments",,,,,,,,,,,,,,,,
2245729296,"Crucible Challenges","crucible-challenges","Speak to Shaxx to collect your reward.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/c78c087bbbded51f16a8d00ecedd4ffe.png","None","None","",,,,,,,,,,,,,,,,
2252260792,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2253044470,"Legion-Bane","legion-bane","Firm orders compel Legionaries to fight to the end—hoping for a lucky shot.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/4b2d1740100fbaea4926c008de7f877e.jpg","Rare","Armor","Gauntlets",300,35,,,,,,,,,,,,,,
2264636552,"Meditations","meditations","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/51b6c468a2aa7798ac34c55ff6fa6f03.png","None","Quest","Quest",,,,,,,,,,,,,,,,
2265859909,"Retro-Grade TG2","retro-grade-tg2","Post-Collapse prototype extra-atmospheric combat armor. Scratched inside: ""Who's up for a moonwalk?""","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/d1a01c72139e234b2c3313e5d492b75c.jpg","Legendary","Armor","Leg Armor",300,35,,,,,,,,,,,,,,
2267799286,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2270228604,"New Monarchy Token","new-monarchy-token","Proof of your efforts in support of New Monarchy. \n\nBring this to Executor Hideo while pledged to New Monarchy to increase your New Monarchy reputation.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/1b62bca2e5a042b1c5b75d85a5abec47.jpg","Common","None","Redeemable",,,,,,,,,,,,,,,,
2271249247,"Silver Starter Pack","silver-starter-pack","A one-time bundle for Guardians that want to start off in style.\n\nContains Bright Engrams, Bright Dust, and SUROS-brand shaders.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b28426953b470804adc7f8e31802f923.png","Legendary","None","Package",,,,,,,,,,,,,,,,
2273483223,"Solar Damage Mod","solar-damage-mod","Equip this to a weapon to charge its rounds with Solar energy.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/3ad8c5878dc9458a490c9f235fa81508.jpg","Rare","Mod","Weapon Mod",,,,,,,,,,,,,,,,
2276266837,"Honor's Edge","honors-edge","""Good leadership requires discernment: the art of finely dividing one subtle thing from another."" —Executor Hideo","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b17ce822f45b6f072cc9864d5600f8b9.jpg","Legendary","Weapon","Sword",46,28,,,,200,0,,62,46,,60,,,,
2277990623,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2283361089,"Letter Fragment","letter-fragment","Torn Remnants of a Vanguard Missive","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/1c46d96bf35fb635bf879e66159dc37f.jpg","Basic","None","Journal Fragments",,,,,,,,,,,,,,,,
2285466241,"Unbreakable","unbreakable","Failsafe has caught wind of Vex tech that could result in unstoppable barriers.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/8f0b3ad3f7ab80c31dd83f7de3e5cbf8.jpg","Basic","None","",,,,,,,,,,,,,,,,
2287556848,"Slow Clap","slow-clap","Great. Just great. That was really, really great.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/5737b6ff16be527289984f62c430c6ec.jpg","Common","None","Emote",,,,,,,,,,,,,,,,
2287852220,"Heavy Warlock Armor","heavy-warlock-armor","HEAVY WARLOCK ARMOR\nImproved resilience.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f798af8e5eac85193f61311408a1d07e.png","Basic","Mod","Intrinsic",,,0,,0,,,,,,,,,,,
2288562347,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2290863050,"Persuader","persuader","""They say you can't reason with these enemies. I dunno—my gun and I seem to manage just fine."" —Kei-Ying","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/11619a8e54d19ab03762dfdf246e6446.jpg","Legendary","Weapon","Sniper Rifle",,42,,,,300,35,140,55,39,42,5,61,67,71,60
2292007738,"Damaged Warlock Hood","damaged-warlock-hood","A good hood keeps you focused. This one targets nothing but loss.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/1323f494fdbfe63c470b8eab61fe8f49.jpg","Basic","Armor","Helmet",10,1,1,,,,,,,,,,,,,
2292335025,"Siren Song","siren-song","Disrupt a Hive Ritual to keep the Rig from sinking.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/8f0b3ad3f7ab80c31dd83f7de3e5cbf8.jpg","Basic","None","",,,,,,,,,,,,,,,,
2295776454,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2296261125,"Iron Banner Arsenal","iron-banner-arsenal","Weapons obtained by honoring the heroes of old in the Iron Banner Crucible tournament.",,"Legendary","None","Armor Set",,,,,,,,,,,,,,,,
2296274682,"Nightfall","nightfall","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/9d6049b56206da2b207bc660f6c113c6.png","None","Quest","Quest",,,,,,,,,,,,,,,,
2296691422,"Swordflight 4.1","swordflight-41","Fly faster. Cut deeper. Burn harder.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/ac6a224c594be75ee17dd3f945c60e16.jpg","Legendary","Armor","Gauntlets",300,35,,,,,,,,,,,,,,
2307143135,"Harsh Truths","harsh-truths","This weapon fires a 5-round burst. When a nearby ally is killed, gain health regeneration and increased movement speed.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/2f1cbad7e951ec89491fb0fd275677cb.png","Exotic","Mod","Intrinsic",,,,,,,,,,,,,,,,
2307426896,"SUROS Tone","suros-tone","Apply this shader to change the color of your gear.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/c3832eeb3c1dde79a8e4ea0784fcff14.jpg","Rare","Mod","Shader",,,,,,,,,,,,,,,,
2307426898,"SUROS Modular","suros-modular","Apply this shader to change the color of your gear.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/2f1b5ee86f92d1545153493f52e7b6e0.jpg","Rare","Mod","Shader",,,,,,,,,,,,,,,,
2310508296,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2311027942,"Refugee Boots","refugee-boots","Keep it moving. Swift of foot and long of stride.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/a054074a1ea02f9660152d6177b3e3e2.jpg","Basic","None","Leg Armor",0,0,,0,,,,,,,,,,,,
2316438508,"Exotic Gear","exotic-gear","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/a3a1f7316711918c8ae8d2bd06f9f239.jpg","Exotic","None","",,,,,,,,,,,,,,,,
2317046938,"Shadow Specter","shadow-specter","Light as the breeze that carries the day.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/fc5e978e0c00ecad6fdc8cffd198eb46.jpg","Rare","Armor","Hunter Cloak",200,19,,,,,,,,,,,,,,
2317191363,"Mindbreaker Boots","mindbreaker-boots","""Your work today was more than acceptable. It was adequate."" —Asher Mir","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/3743dc99bc28c015f6f2dfcec9165997.jpg","Rare","Armor","Leg Armor",0,0,,,,,,,,,,,,,,
2326657581,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2328497849,"Random Mod","random-mod","A mod with arbitrarily generated upgrades.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/d34f7408a3d4433bea741e428caeef78.png","Basic","Mod","",,,,,,,,,,,,,,,,
2333607307,"Impetus","impetus","Reloading immediately after a kill increases weapon damage for a short time.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/4c5b6da4af56a9c55da1deab4387d962.png","Legendary","Mod","Trait",,,,,,,,,,,,,,,,
2336955569,"Rare Gear","rare-gear","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/9d51d9594b4c8b299926014214c5688e.jpg","Rare","None","",,,,,,,,,,,,,,,,
2338535731,"Clan XP","clan-xp","Visit Hawthorne to receive clan rewards.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b91b4743330faa3c3f4f17062cb9774f.png","None","None","",,,,,,,,,,,,,,,,
2339344379,"Atonement Tau","atonement-tau","THE DISTANT FIRE: Cabal dirge, age circa 1200 years, narrating the life of a spark from a forge.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/a0bf8510ddf5fec7adabb4671b9aa662.jpg","Rare","Armor","Gauntlets",300,35,,,,,,,,,,,,,,
2343139242,"Bond of Refuge","bond-of-refuge","All you have left is your mind. And, all things considered, that's not too bad.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/20bce2c4f6a84ba28b4b1d0b1d6a6acb.jpg","Basic","Armor","Warlock Bond",10,0,,,,,,,,,,,,,,
2349202967,"Heavy Guard","heavy-guard","Sword Guard has high efficiency and high defense.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/f96a0783db6f92f3730a2513ae8bb82b.png","Legendary","Mod","Guard",,,,,,,,,,,,,,,,
2352344841,"Kinetic Counterbalance Mod","kinetic-counterbalance-mod","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/94f72b61f3311d946602b93dc52c84bb.jpg","Legendary","Mod","Hunter Cloak Mod",,,,,,,,,,,,,,,,
2353477480,"Aggressive Frame","aggressive-frame","High damage, high recoil.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/4fe70dd2e732ba9d5365f31489d56ccf.png","Exotic","Mod","Intrinsic",,,,,,,,,,,,,,,,
2353605216,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2359639520,"Exodus Down Robes","exodus-down-robes","""Adjust course two degrees. It's a long way to Kepler-186, folks. We don't have time to tour Nessus."" —Capt. Masoud Jacobson","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/8d5c84c3ac4fd4c5c58a0c802e4520eb.jpg","Legendary","Armor","Chest Armor",300,35,,,,,,,,,,,,,,
2360859444,"","","",,"Basic","None","",,,,,,,,,,,,,,,,
2362471600,"Drang","drang","Since the Collapse, these pistols have been retooled several times to boost their firepower. A worn inscription reads, ""To Victor, from Sigrun.""","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/81a592981429e73e0649d912241f1395.jpg","Legendary","Weapon","Sidearm",,1,,,,10,14,300,49,42,64,12,37,74,70,80
2362471601,"Rat King","rat-king","We are small, but we are legion.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/b351b24aadf5ba661185f7e10bfe2076.jpg","Exotic","Weapon","Sidearm",,28,,,,200,12,300,49,37,46,15,46,46,60,80
2363751990,"Infinite Guard","infinite-guard","Sword Guard has very high efficiency and balanced defense.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/833849e6bda71f144f07af71d8f8c16a.png","Legendary","Mod","Guard",,,,,,,,,,,,,,,,
2363903643,"Makeshift Suit","makeshift-suit","Hunters pooled their scavenged gear to build new field suits.","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/80150585a301d855b7ee8d3bc08c7c2e.jpg","Common","Armor","Chest Armor",300,35,,1,1,,,,,,,,,,,
2365108107,"Solar Paragon Mod","solar-paragon-mod","","https://cdn.thetrackernetwork.com/destiny//common/destiny2_content/icons/98e11095021986e131c9210653bcf2b9.jpg","Rare","Mod","Helmet Armor Mod",,,,,,,,,,,,,,,,
